id,brand,car_model,type,desc,problem,datetime,status
486716,上汽斯柯达,速派,2013款 1.4T DSG 绅仕版,斯柯达速派起步时变速箱故障无法行驶,"B84,",2020-06-21,信息审核
486707,吉利汽车,博越,2020款 1.8TD DCT 智慧PRO,吉利博越宣传与实车不符无挡位灯,"M279,",2020-06-21,信息审核
486706,上汽大众,桑塔纳,2017款 1.6L 手动 风尚型 Cross,上汽大众桑塔纳韩泰轮胎开裂半轴球笼漏油,"F100,G56,G161,",2020-06-21,信息审核
486705,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机系统升级后卡顿问题解决,"O348,",2020-06-21,信息审核
486704,东风本田,本田CR-V,2015款 2.4L 两驱 豪华版,东风本田CR-V发动机熄火希望厂家处理,"A14,J298,J301,",2020-06-21,信息审核
486700,众泰汽车,众泰E200,2018款 Pro,众泰E200行驶过程中失去动力存在安全隐患,"A346,I295,L310,N318,",2020-06-21,信息审核
486699,一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国V,一汽大众探岳大灯亮度严重不足影响安全,"H82,",2020-06-21,信息审核
486698,奇瑞汽车,瑞虎5x,2019款 HERO 1.5T DCT 高能版,奇瑞瑞虎5x车机系统反应慢断线希望厂家解决,"H21,H155,",2020-06-21,信息审核
486696,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统死机系统与宣传不符,"H155,M279,",2020-06-21,信息审核
486694,吉利汽车,远景X6,2016款 1.3T CVT 豪华型,吉利远景X6发动机冷车启动困难转速低,"A44,A35,",2020-06-21,信息审核
486691,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,一汽大众奥迪A4L空调风口吹自然风有异味,"H121,I295,J298,",2020-06-21,信息审核
486690,上汽大众,途观L,2018款 330TSI 自动 两驱 舒适版,上汽大众途观L车辆无法启动要求厂家处理,"B22,E74,E62,I295,",2020-06-21,信息审核
486687,广汽本田,雅阁,2016款 2.0L CVT  舒适版,广汽本田雅阁转向机异响更换后未解决,"D59,",2020-06-21,信息审核
486685,华晨中华,中华V3,2019款 1.5L 自动 精英型,中华V3电瓶无故没电存在漏电现象,"H146,",2020-06-21,信息审核
486684,比亚迪,比亚迪e5,2018款 450 智联 畅享型,比亚迪e5动力电池故障4S店服务态度恶劣,"H343,I295,I293,I282,I281,J298,J303,N318,",2020-06-21,处理反馈
486683,东风本田,杰德,2016款 1.8L 自动 舒适精英版 5座,东风本田杰德左前升降器故障4S店拒赔,"H72,H67,I297,",2020-06-21,信息审核
486682,东风乘用车,风神AX7,2016款 2.0L 自动 智悦型,东风风神AX7车身生锈腐蚀希望厂家处理,"H79,I297,",2020-06-21,厂家受理
486678,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 尊享型,吉利嘉际流光氛围灯虚假宣传与实车不符,"M279,",2020-06-21,信息审核
486677,东风本田,本田UR-V,2017款 240TURBO 两驱 经典版 国V,东风本田UR-V后备箱严重漏水车胎偏磨,"G245,",2020-06-21,处理反馈
486675,上汽大通,上汽MAXUS G10,2021款 2.0T 手动 精英版 柴油 7座,上汽大通G10后备箱门把手断裂厂家拒赔,"H233,I297,",2020-06-21,处理反馈
486672,上汽大众,朗逸,2017款 1.6L 手动 舒适版,上汽大众朗逸车内异响服务态度恶劣,"H164,",2020-06-21,信息审核
486668,众泰汽车,众泰T800,2018款 2.0T 尊贵智联型 7座,众泰T800中控台异响 变速箱故障灯亮,"B96,B246,H93,",2020-06-21,信息审核
486665,一汽大众,捷达VS5,2019款 280TSI 自动 悦享型,一汽大众捷达VS5导水槽漏水导致涡轮生锈,"H109,",2020-06-21,信息审核
486664,吉利新能源,星越新能源,2019款 改款 400T 耀星者 纯电动续航56KM,吉利星越新能源车机死机要求更换硬件,"H155,M279,",2020-06-21,信息审核
486661,一汽大众,捷达VS5,2019款 280TSI 自动 悦享型,一汽大众捷达VS5低速行驶中右前轮异响,"G125,",2020-06-21,信息审核
486655,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统出现死机现象希望尽快处理,"H155,M279,",2020-06-21,信息审核
486653,东风风行,景逸X3,2016款 1.5L 豪华型,东风风行景逸X3行驶中右后下摆臂断裂,"G210,H168,",2020-06-21,信息审核
486650,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统黑屏版本与宣传不符,"H155,M279,",2020-06-21,信息审核
486648,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越雾灯以及挡位灯与宣传不符,"Q350,",2020-06-21,信息审核
486643,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越实车配置与宣传不符要求解决,"M279,",2020-06-21,信息审核
486642,长城汽车,长城C30,2016款 1.5L AMT 豪华型,长城C30变速箱挂挡异响车身生锈,"A9,H79,",2020-06-21,信息审核
486641,北京现代,领动,2020款 1.4T 双离合 炫动·旗舰型,北京现代领动发动机漏油变速箱起步顿挫,"A12,A189,B33,B19,",2020-06-21,信息审核
486638,一汽-大众奥迪,奥迪A6L,2018款 30 FSI CVT 风尚型,一汽大众奥迪A6L天窗漏水4S店维修多次,"H90,I295,J298,",2020-06-21,信息审核
486637,吉利汽车,星越,2019款 350T AWD 驭星者,吉利星越车机与宣传不符 内饰异响,"H93,",2020-06-21,信息审核
486634,一汽丰田,卡罗拉,2018款 1.2T S-CVT GL智享版,一汽丰田卡罗拉后挡风玻璃自动爆裂,"H113,",2020-06-21,信息审核
486632,东风日产,天籁,2016款 2.0L XL 舒适版 改款,东风日产天籁仪表盘开裂 厂家不索赔,"H168,I297,",2020-06-21,信息审核
486631,一汽-大众,宝来,2019款 1.5L 自动 精英型,一汽大众宝来电池电量不足自动启停无法激活,"H146,",2020-06-21,信息审核
486630,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越实车变速箱没有挡位灯指示,"M279,",2020-06-21,信息审核
486627,吉利汽车,帝豪GS,2016款 1.3T 自动 领尚型 运动版,吉利帝豪GS发动机异响车身生锈厂家不处理,"A9,B33,H79,H101,H82,H157,I295,",2020-06-21,信息审核
486626,广汽丰田,凯美瑞,2016款 2.0G 自动 十周年纪念领先版,广汽丰田凯美瑞左前半轴油封漏油,"G51,",2020-06-21,信息审核
486624,广汽本田,雅阁,2018款 260TURBO 豪华版 国V,广汽本田雅阁发动机渗油异响希望厂家处理,"A9,A12,E196,",2020-06-21,信息审核
486623,长安汽车,长安CS35,2017款 1.6L 自动 豪华型,长安CS35行驶中方向盘跑偏无法解决,"G117,",2020-06-21,信息审核
486621,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408行驶中加速出现失速车辆抖动,"A24,A160,B95,B334,I295,",2020-06-21,信息审核
486619,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸车内异味严重4S店不给解决,"H185,",2020-06-21,信息审核
486615,吉利汽车,星越,2019款 350T 驭星者,吉利星越车机系统升级后未能解决问题,"O348,",2020-06-21,信息审核
486613,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机系统死机与官方宣传不一致,"H155,M279,",2020-06-21,信息审核
486611,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 耀享型,吉利嘉际轻混电动机噪音大4S店无法解决,"A342,I295,",2020-06-21,信息审核
486608,广汽丰田,凯美瑞,2016款 2.5G 自动 十周年纪念豪华导航版,广汽丰田凯美瑞半轴防尘套漏油4S店不保修,"G161,I297,Q322,Q290,",2020-06-21,信息审核
486597,上汽大众,Polo,2016款 1.6L 自动 豪华型,上汽大众Polo轮胎偏磨4S店私自维修无单据,"F10,I295,I293,J298,O305,O324,",2020-06-21,信息审核
486592,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机死机硬件与宣传不符要求更换,"H155,M279,",2020-06-21,信息审核
486588,上汽斯柯达,柯迪亚克,2018款 TSI330 两驱 舒适版 5座,上汽斯柯达柯迪亚克发动机共振中控台异响,"A24,H164,H93,I295,",2020-06-21,信息审核
486587,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控屏开裂4S店不保修,"H168,I297,",2020-06-21,信息审核
486585,东风雪铁龙,C4世嘉,2016款 1.2THP 自动 旗舰型,雪铁龙C4世嘉方向管柱松动 ABS传感器故障,"D265,E74,",2020-06-21,信息审核
486584,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯模糊 影响照明,"H82,",2020-06-21,信息审核
486577,东风英菲尼迪,英菲尼迪Q50L,2015款 2.0T 自动 舒适版,东风英菲尼迪Q50L开热风时车内存在汽油味,"H101,",2020-06-21,信息审核
486576,江淮汽车,嘉悦A5,2020款 1.5T CVT 超越型,江淮嘉悦A5后备箱门把手装饰板松动,"H179,H233,",2020-06-21,信息审核
486575,蔚来,蔚来ES8,2018款 创始版,蔚来ES8自动驾驶辅助摄像头故障,"H134,",2020-06-21,信息审核
486574,东风本田,INSPIRE,2019款 锐·混动 2.0L 净雅版 国VI,东风本田INSPIRE锈蚀严重4S店服务态度恶劣,"H79,I295,I293,",2020-06-21,信息审核
486570,北京奔驰,奔驰GLC,2019款 GLC 260 4MATIC 动感型,北京奔驰GLC减震器漏油 刹车异响眼镜盒脱落,"E43,G25,H168,",2020-06-21,信息审核
486568,上汽大通,上汽MAXUS G50,2019款 1.5T 自动 豪华版 国V,上汽大通G50冷媒泄漏 空调不制冷,"H101,",2020-06-21,处理反馈
486566,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统出现死机要求升级硬件,"H155,",2020-06-21,信息审核
486564,东风标致,标致408,2014款 1.6T 自动 至尊版,东风标致408后桥异响存在安全隐患要求召回,"G158,",2020-06-21,信息审核
486561,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸熄火后转向系统故障灯亮,"D291,",2020-06-21,信息审核
486545,长安马自达,马自达3 昂克赛拉,2016款 1.5L 手动 豪华型 三厢,长安马自达昂克赛拉屏幕边缘处脱胶,"H168,",2020-06-21,信息审核
486542,吉利汽车,星越,2019款 350T AWD 驭星者,吉利星越变速箱顿挫 减震异响 车机死机,"B19,G52,H155,",2020-06-21,信息审核
486541,吉利汽车,星越,2019款 改款 350T 驭星者AWD,吉利星越车机系统升级后未能解决问题,"O348,",2020-06-21,信息审核
486540,猎豹汽车,猎豹CS9,2017款 1.5L CVT 精英型,猎豹CS9发动机高温维修后无法解决,"A191,",2020-06-21,信息审核
486539,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸韩泰轮胎开裂希望更换,"F100,",2020-06-20,信息审核
486537,上汽通用五菱,五菱宏光,2020款 1.2L S 基本型 国VI LSI,上汽通用五菱宏光左后车轮摆动维修后未解决,"G204,",2020-06-20,信息审核
486535,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统升级措施不到位,"O348,",2020-06-20,信息审核
486533,长安汽车,长安CS75 PLUS,2020款 2.0T 自动 领航型,长安CS75 PLUS车漆破损 引擎盖生锈,"H79,",2020-06-20,厂家受理
486532,一汽丰田,皇冠,2018款 2.0T 运动版,一汽丰田皇冠刹车异响转向异响4S店未解决,"D59,E43,G52,I295,J298,",2020-06-20,信息审核
486531,东南汽车,东南DX3,2018款 1.5L 手动 旗舰型,东南DX3打方向时转向沉不回正4S店不处理,"D123,D156,D154,I295,J300,",2020-06-20,信息审核
486529,江淮汽车,瑞风S3,2016款 1.5L 手动 豪华型,江淮瑞风S3车内异味严重希望厂家给予解决,"H185,I295,",2020-06-20,信息审核
486528,吉利汽车,星越,2019款 350T 驭星者,吉利星越方向盘异响车机系统与宣传不符,"D59,H134,M279,",2020-06-20,信息审核
486527,吉利汽车,星越,2019款 350T 耀星者,吉利星越行驶中方向跑偏 刹车盘异响,"E43,G117,",2020-06-20,信息审核
486523,广汽丰田,凯美瑞,2019款 2.5G 豪华版 国VI,广汽丰田凯美瑞制动时变速箱故障无法减速,"B115,",2020-06-20,信息审核
486521,一汽-大众,宝来,2019款 改款 280TSI DSG 精英型 国V,一汽大众宝来仪表盘罩开裂4S店不给保修,"H168,I297,",2020-06-20,信息审核
486520,长安汽车,长安CS75 PLUS,2020款 2.0T 自动 旗舰型,长安CS75 PLUS全景影像模糊 车机卡顿,"H134,M279,M283,",2020-06-20,处理反馈
486512,广汽本田,飞度,2014款 1.5L CVT SE时尚型,广汽本田飞度发动机异响希望厂家给与保修,"A9,I297,",2020-06-20,信息审核
486511,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机与宣传不符出现死机黑屏,"H155,",2020-06-20,信息审核
486510,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱顿挫 厂家不回复,"B19,I294,",2020-06-20,信息审核
486504,长城汽车,哈弗H6 Coupe,2016款 1.5T 自动 两驱精英型,哈弗H6Coupe涡轮增压器损坏不解决问题,"A189,I295,",2020-06-20,信息审核
486501,一汽丰田,卡罗拉,2011款 1.6 自动 GL 纪念版,一汽丰田卡罗拉4S店更换非原厂车门拒不承认,"J303,N319,",2020-06-20,信息审核
486495,广汽三菱,欧蓝德,2019款 2.0L 两驱 畅享版 5座 国VI,三菱欧蓝德发动机抖动噪音大厂家不解决,"A24,B19,I295,I294,J300,L314,",2020-06-20,厂家受理
486494,华晨宝马,宝马X1,2013款 sDrive18i 2.0L 自动 领先型,华晨宝马X1车内异味严重4S店不予保修,"H185,I297,",2020-06-20,厂家受理
486489,上汽集团,荣威Ei5,2019款 智联旗舰版,上汽荣威Ei5充电慢且充电时自动断开,"H340,",2020-06-20,信息审核
486486,吉利汽车,帝豪GL,2019款 1.4T CVT 精英智享版,吉利帝豪GL中控台排挡杆异响4S店不处理,"H164,H93,I295,J298,",2020-06-20,信息审核
486485,长安汽车,逸动DT,2018款 1.6L 手动 舒享型,长安逸动DT发动机漏汽油希望厂家处理,"A53,H79,",2020-06-20,用户评分
486478,时风牌SSF3042DDP53,风驰1800,轻型自卸货车,时风风驰1800车架纵梁裂口4S店不给保修,"A37,A191,A222,G230,H101,H110,I297,J298,",2020-06-20,信息审核
486477,广汽菲克菲亚特,致悦,2014款 1.4T 自动 舒适型,广汽菲亚特致悦行驶中变速箱失去动力,"B334,B77,I297,",2020-06-20,信息审核
486474,长城汽车,风骏7,2019款 2.0T 柴油 两驱 精英型 国VI 大双 4D20M,长城风骏7发动机无法启动4S店不处理,"A44,I295,I297,",2020-06-20,信息审核
486473,东风悦达起亚,起亚K3,2019款 1.4T DCT GT-line智享运动版,东风锐达起亚K3底盘异响要求厂家解决,"G56,G180,",2020-06-20,信息审核
486471,东风日产,天籁,2020款 2.0L XL 舒适版,东风日产天籁车辆跑偏4S店多次维修敷衍了事,"G117,I295,J298,",2020-06-20,信息审核
486468,一汽-大众奥迪,奥迪Q5L,2018款 40 TFSI 荣享进取型 国V,一汽大众奥迪Q5L行驶中变速箱换挡顿挫,"B33,B19,I295,J298,",2020-06-20,信息审核
486466,吉利汽车,博越,2020款 1.8TD DCT 智慧PRO,吉利博越实车没有挡位指示灯与宣传不符,"M279,",2020-06-20,信息审核
486465,长安马自达,马自达3 昂克赛拉,2016款 2.0L 自动 旗舰型 三厢,长安马自达昂克赛拉中控屏幕四周多处开裂,"H168,I297,",2020-06-20,信息审核
486464,上汽斯柯达,明锐,2016款 TSI280 DSG 智行版,上汽斯柯达明锐变速箱故障4S店拒绝保修,"B96,B115,I297,",2020-06-20,信息审核
486463,吉利汽车,远景,2016款 1.5L 自动 幸福版,吉利远景变速箱损坏无法加速4S店不予保修,"B334,I297,",2020-06-20,信息审核
486462,吉利汽车,帝豪,2014款 1.3T CVT 精英型 两厢,吉利帝豪车身以及车门生锈腐蚀严重,"H79,",2020-06-20,信息审核
486460,一汽丰田,RAV4荣放,2020款 双擎 2.5L CVT 四驱 精英PLUS版,一汽丰田荣放RAV4车身B柱装饰板腐蚀,"H157,",2020-06-20,信息审核
486459,吉利汽车,远景,2016款 1.5L 自动 幸福版,吉利远景挂倒挡时不踩油门车辆无法移动,"B334,",2020-06-20,信息审核
486458,奇瑞捷豹路虎,发现神行,2017款 2.0T PURE,奇瑞捷豹路虎发现神行启动后发动机异响,"A9,",2020-06-20,处理反馈
