投诉编号,投诉品牌,投诉车系,投诉车型,问题简述_链接,问题简述,典型问题_链接,典型问题,典型问题_链接1,典型问题2,典型问题_链接3,典型问题4,典型问题_链接5,典型问题6,典型问题_链接7,典型问题8,投诉时间,投诉状态
486691,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,http://www.12365auto.com/zlts/20200621/486691.shtml,一汽大众奥迪A4L空调风口吹自然风有异味,http://www.12365auto.com/zlts/114-3-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/114-3-0-0-0-0_121-0-0-0-0-0-0-1.shtml,空调异味,http://www.12365auto.com/zlts/114-3-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/114-3-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/114-3-0-0-0-0_295-0-0-0-0-0-0-1.shtml,不解决问题,2020-06-21,信息审核
486690,上汽大众,途观L,2018款 330TSI 自动 两驱 舒适版,http://www.12365auto.com/zlts/20200621/486690.shtml,上汽大众途观L车辆无法启动要求厂家处理,http://www.12365auto.com/zlts/140-2014-0-0-0-2_0-0-0-0-0-0-0-1.shtml,变速器,http://www.12365auto.com/zlts/140-2014-0-0-0-0_22-0-0-0-0-0-0-1.shtml,漏油,http://www.12365auto.com/zlts/140-2014-0-0-0-0_74-0-0-0-0-0-0-1.shtml,ABS故障,http://www.12365auto.com/zlts/140-2014-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/140-2014-0-0-0-0_295-0-0-0-0-0-0-1.shtml,不解决问题,2020-06-21,信息审核
486684,比亚迪,比亚迪e5,2018款 450 智联 畅享型,http://www.12365auto.com/zlts/20200621/486684.shtml,比亚迪e5动力电池故障4S店服务态度恶劣,http://www.12365auto.com/zlts/123-1894-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/123-1894-0-0-0-0_343-0-0-0-0-0-0-1.shtml,动力电池故障,http://www.12365auto.com/zlts/123-1894-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/123-1894-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/123-1894-0-0-0-0_295-0-0-0-0-0-0-1.shtml,不解决问题,2020-06-21,厂家受理
486683,东风本田,杰德,2016款 1.8L 自动 舒适精英版 5座,http://www.12365auto.com/zlts/20200621/486683.shtml,东风本田杰德左前升降器故障4S店拒赔,http://www.12365auto.com/zlts/119-1303-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/119-1303-0-0-0-0_72-0-0-0-0-0-0-1.shtml,门窗异响,http://www.12365auto.com/zlts/119-1303-0-0-0-0_67-0-0-0-0-0-0-1.shtml,车窗升降故障,http://www.12365auto.com/zlts/119-1303-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/119-1303-0-0-0-0_297-0-0-0-0-0-0-1.shtml,不予索赔,2020-06-21,信息审核
486682,东风乘用车,风神AX7,2016款 2.0L 自动 智悦型,http://www.12365auto.com/zlts/20200621/486682.shtml,东风风神AX7车身生锈腐蚀希望厂家处理,http://www.12365auto.com/zlts/144-1537-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/144-1537-0-0-0-0_79-0-0-0-0-0-0-1.shtml,车身生锈,http://www.12365auto.com/zlts/144-1537-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/144-1537-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/144-1537-0-0-0-0_297-0-0-0-0-0-0-1.shtml,不予索赔,2020-06-21,信息审核
486677,东风本田,本田UR-V,2017款 240TURBO 两驱 经典版 国V,http://www.12365auto.com/zlts/20200621/486677.shtml,东风本田UR-V后备箱严重漏水车胎偏磨,http://www.12365auto.com/zlts/119-2050-0-0-0-7_0-0-0-0-0-0-0-1.shtml,前后桥及悬挂系统,http://www.12365auto.com/zlts/119-2050-0-0-0-0_245-0-0-0-0-0-0-1.shtml,吃胎偏磨,,,,,,,2020-06-21,厂家受理
486675,上汽大通,上汽MAXUS G10,2021款 2.0T 手动 精英版 柴油 7座,http://www.12365auto.com/zlts/20200621/486675.shtml,上汽大通G10后备箱门把手断裂厂家拒赔,http://www.12365auto.com/zlts/322-1452-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/322-1452-0-0-0-0_233-0-0-0-0-0-0-1.shtml,车门把手故障,http://www.12365auto.com/zlts/322-1452-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/322-1452-0-0-0-0_0-1-0-0-0-0-0-1.shtml,服务态度,http://www.12365auto.com/zlts/322-1452-0-0-0-0_297-0-0-0-0-0-0-1.shtml,不予索赔,2020-06-21,厂家受理
486672,上汽大众,朗逸,2017款 1.6L 手动 舒适版,http://www.12365auto.com/zlts/20200621/486672.shtml,上汽大众朗逸车内异响服务态度恶劣,http://www.12365auto.com/zlts/140-220-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/140-220-0-0-0-0_164-0-0-0-0-0-0-1.shtml,车内异响,,,,,,,2020-06-21,信息审核
486661,一汽大众,捷达VS5,2019款 280TSI 自动 悦享型,http://www.12365auto.com/zlts/20200621/486661.shtml,一汽大众捷达VS5低速行驶中右前轮异响,http://www.12365auto.com/zlts/537-2637-0-0-0-7_0-0-0-0-0-0-0-1.shtml,前后桥及悬挂系统,http://www.12365auto.com/zlts/537-2637-0-0-0-0_125-0-0-0-0-0-0-1.shtml,车轮异响,,,,,,,2020-06-21,信息审核
486655,吉利汽车,星越,2019款 300T 耀星者,http://www.12365auto.com/zlts/20200621/486655.shtml,吉利星越车机系统出现死机现象希望尽快处理,http://www.12365auto.com/zlts/172-2527-0-0-0-8_0-0-0-0-0-0-0-1.shtml,车身附件及电器,http://www.12365auto.com/zlts/172-2527-0-0-0-0_155-0-0-0-0-0-0-1.shtml,车载互联故障,http://www.12365auto.com/zlts/172-2527-0-0-0-0_0-5-0-0-0-0-0-1.shtml,销售欺诈,http://www.12365auto.com/zlts/172-2527-0-0-0-0_0-5-0-0-0-0-0-1.shtml,销售欺诈,http://www.12365auto.com/zlts/172-2527-0-0-0-0_279-0-0-0-0-0-0-1.shtml,与宣传不符,2020-06-21,信息审核
