投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
486706,上汽大众,桑塔纳,2017款 1.6L 手动 风尚型 Cross,上汽大众桑塔纳韩泰轮胎开裂半轴球笼漏油,轮胎开裂前后桥及悬挂系统底盘异响前后桥及悬挂系统球笼套漏油,2020-06-21,信息审核
486700,众泰汽车,众泰E200,2018款 Pro,众泰E200行驶过程中失去动力存在安全隐患,发动机电驱动控制器故障服务态度不解决问题承诺不兑现不履行三包配件争议无零配件,2020-06-21,信息审核
486698,奇瑞汽车,瑞虎5x,2019款 HERO 1.5T DCT 高能版,奇瑞瑞虎5x车机系统反应慢断线希望厂家解决,车身附件及电器导航问题车身附件及电器车载互联故障,2020-06-21,信息审核
486691,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,一汽大众奥迪A4L空调风口吹自然风有异味,车身附件及电器空调异味服务态度不解决问题人员技术多次返修,2020-06-21,信息审核
486690,上汽大众,途观L,2018款 330TSI 自动 两驱 舒适版,上汽大众途观L车辆无法启动要求厂家处理,变速器漏油制动系统ABS故障制动系统故障灯亮服务态度不解决问题,2020-06-21,信息审核
486684,比亚迪,比亚迪e5,2018款 450 智联 畅享型,比亚迪e5动力电池故障4S店服务态度恶劣,车身附件及电器动力电池故障服务态度不解决问题服务态度态度蛮横服务态度故意拖延服务态度互相推诿人员技术多次返修人员技术维修技术差配件争议无零配件,2020-06-21,厂家受理
486683,东风本田,杰德,2016款 1.8L 自动 舒适精英版 5座,东风本田杰德左前升降器故障4S店拒赔,车身附件及电器门窗异响车身附件及电器车窗升降故障服务态度不予索赔,2020-06-21,信息审核
486682,东风乘用车,风神AX7,2016款 2.0L 自动 智悦型,东风风神AX7车身生锈腐蚀希望厂家处理,车身附件及电器车身生锈服务态度不予索赔,2020-06-21,信息审核
486677,东风本田,本田UR-V,2017款 240TURBO 两驱 经典版 国V,东风本田UR-V后备箱严重漏水车胎偏磨,前后桥及悬挂系统吃胎偏磨,2020-06-21,厂家受理
486675,上汽大通,上汽MAXUS G10,2021款 2.0T 手动 精英版 柴油 7座,上汽大通G10后备箱门把手断裂厂家拒赔,车身附件及电器车门把手故障服务态度不予索赔,2020-06-21,厂家受理
486672,上汽大众,朗逸,2017款 1.6L 手动 舒适版,上汽大众朗逸车内异响服务态度恶劣,车身附件及电器车内异响,2020-06-21,信息审核
486661,一汽大众,捷达VS5,2019款 280TSI 自动 悦享型,一汽大众捷达VS5低速行驶中右前轮异响,前后桥及悬挂系统车轮异响,2020-06-21,信息审核
486655,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统出现死机现象希望尽快处理,车身附件及电器车载互联故障销售欺诈与宣传不符,2020-06-21,信息审核
486653,东风风行,景逸X3,2016款 1.5L 豪华型,东风风行景逸X3行驶中右后下摆臂断裂,前后桥及悬挂系统下摆臂故障车身附件及电器部件开裂,2020-06-21,信息审核
486650,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统黑屏版本与宣传不符,车身附件及电器车载互联故障销售欺诈与宣传不符,2020-06-21,信息审核
486648,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越雾灯以及挡位灯与宣传不符,其他疑似减配,2020-06-21,信息审核
486643,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越实车配置与宣传不符要求解决,销售欺诈与宣传不符,2020-06-21,信息审核
486642,长城汽车,长城C30,2016款 1.5L AMT 豪华型,长城C30变速箱挂挡异响车身生锈,发动机异响车身附件及电器车身生锈,2020-06-21,信息审核
486641,北京现代,领动,2020款 1.4T 双离合 炫动·旗舰型,北京现代领动发动机漏油变速箱起步顿挫,发动机漏油发动机涡轮增压器故障变速器异响变速器顿挫,2020-06-21,信息审核
486638,一汽-大众奥迪,奥迪A6L,2018款 30 FSI CVT 风尚型,一汽大众奥迪A6L天窗漏水4S店维修多次,车身附件及电器天窗漏水服务态度不解决问题人员技术多次返修,2020-06-21,信息审核
486637,吉利汽车,星越,2019款 350T AWD 驭星者,吉利星越车机与宣传不符 内饰异响,车身附件及电器中控台异响,2020-06-21,信息审核
486634,一汽丰田,卡罗拉,2018款 1.2T S-CVT GL智享版,一汽丰田卡罗拉后挡风玻璃自动爆裂,车身附件及电器玻璃开裂,2020-06-21,信息审核
486632,东风日产,天籁,2016款 2.0L XL 舒适版 改款,东风日产天籁仪表盘开裂 厂家不索赔,车身附件及电器部件开裂服务态度不予索赔,2020-06-21,信息审核
486631,一汽-大众,宝来,2019款 1.5L 自动 精英型,一汽大众宝来电池电量不足自动启停无法激活,车身附件及电器电瓶故障,2020-06-21,信息审核
486630,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越实车变速箱没有挡位灯指示,销售欺诈与宣传不符,2020-06-21,信息审核
486627,吉利汽车,帝豪GS,2016款 1.3T 自动 领尚型 运动版,吉利帝豪GS发动机异响车身生锈厂家不处理,发动机异响变速器异响车身附件及电器车身生锈车身附件及电器空调问题车身附件及电器车灯不亮车身附件及电器部件异常磨损服务态度不解决问题,2020-06-21,信息审核
486626,广汽丰田,凯美瑞,2016款 2.0G 自动 十周年纪念领先版,广汽丰田凯美瑞左前半轴油封漏油,前后桥及悬挂系统半轴渗油,2020-06-21,信息审核
486624,广汽本田,雅阁,2018款 260TURBO 豪华版 国V,广汽本田雅阁发动机渗油异响希望厂家处理,发动机异响发动机漏油制动系统刹车泵故障,2020-06-21,信息审核
486623,长安汽车,长安CS35,2017款 1.6L 自动 豪华型,长安CS35行驶中方向盘跑偏无法解决,前后桥及悬挂系统跑偏,2020-06-21,信息审核
486621,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408行驶中加速出现失速车辆抖动,发动机抖动发动机无法提速变速器抖动变速器无法加速服务态度不解决问题,2020-06-21,信息审核
486619,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸车内异味严重4S店不给解决,车身附件及电器车内异味,2020-06-21,信息审核
486615,吉利汽车,星越,2019款 350T 驭星者,吉利星越车机系统升级后未能解决问题,服务流程不完善系统升级问题,2020-06-21,信息审核
486613,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机系统死机与官方宣传不一致,车身附件及电器车载互联故障销售欺诈与宣传不符,2020-06-21,信息审核
486611,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 耀享型,吉利嘉际轻混电动机噪音大4S店无法解决,发动机电动机异响服务态度不解决问题,2020-06-21,信息审核
486608,广汽丰田,凯美瑞,2016款 2.5G 自动 十周年纪念豪华导航版,广汽丰田凯美瑞半轴防尘套漏油4S店不保修,前后桥及悬挂系统球笼套漏油服务态度不予索赔其他疑似设计缺陷其他厂家不召回,2020-06-21,信息审核
486597,上汽大众,Polo,2016款 1.6L 自动 豪华型,上汽大众Polo轮胎偏磨4S店私自维修无单据,轮胎磨损服务态度不解决问题服务态度态度蛮横人员技术多次返修服务流程不完善未经同意维修服务流程不完善无维修工单,2020-06-21,信息审核
486592,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机死机硬件与宣传不符要求更换,车身附件及电器车载互联故障销售欺诈与宣传不符,2020-06-21,信息审核
486588,上汽斯柯达,柯迪亚克,2018款 TSI330 两驱 舒适版 5座,上汽斯柯达柯迪亚克发动机共振中控台异响,发动机抖动车身附件及电器车内异响车身附件及电器中控台异响服务态度不解决问题,2020-06-21,信息审核
486587,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控屏开裂4S店不保修,车身附件及电器部件开裂服务态度不予索赔,2020-06-21,信息审核
